Y,X,codigoparc,subregion,nombrefinc,especie,nombretecn,tipopropie,elevacionf,clasetextu,zonadevida,departamen,municipio2,areadelapa,tipo_espec,estadodela,accesoserv,edad.stand.age.,alturadomi,is_,categoriai,long,lat,gtm_x,gtm_y,Especie,landcover_2020,landcover_2020_forest,optional,meanAnnualPrecip,optional.1,soil_moisture.Soil_Moisture_Retrieval_Data_PM,soil_moisture_dca.Soil_Moisture_Retrieval_Data_PM,soil_moisture_scah.Soil_Moisture_Retrieval_Data_PM,soil_moisture_scav.Soil_Moisture_Retrieval_Data_PM,land_cover_class_2020,endemism,wood_type,leaf_type,leaf_phenology,leaf_compoundness,n_fixer,wood_density,Fecha medician,N.S.med.,Edad(m.),Edad(a.),Cod. Lote,Experim.,Cod.Tratam.,Ns.Trat.,Num.Rep.,arb.Ori.(pa.),arb.Viv.(pa.),Sup.(%),EjesViv.(ha),Espaciamiento(cm),areaNeta(m2),DAPProm.(cm),IMADAP(cm),Alturatotal(m),IMAAlt.(m),Alt.Dom.(m),ind.Sitio(m),AreaBasal(m2/Ha),ICAAB(m2/Ha),Vol.Tot.(m3/ha),IMA VT(m3/haporaño),ICAVT(m3/Ha)
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2010/4/15,1,81,6.8,40,4,PINUOO01,1,0,58,50,86,1000,290x320,500,11.6,1.7,5.1,0.8,7.2,--,10.5,0,27.5,4.1,--
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2025/10/16,2,100,8.3,40,4,PINUOO01,1,0,58,47,81,940,290x320,500,15.4,1.8,6.6,0.8,9,--,17.5,4.4,57.3,6.9,18.8
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2014/11/17,3,112,9.3,40,4,PINUOO01,1,0,58,47,81,940,290x320,500,17.8,1.9,9,1,12.6,--,23.4,5.9,99.7,10.7,42.5
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2012/11/18,4,124,10.3,40,4,PINUOO01,1,0,58,45,78,900,290x320,500,18.6,1.8,10.4,1,13.6,--,24.5,1,120.9,11.7,21.2
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2001/10/19,5,135,11.3,40,4,PINUOO01,1,0,58,44,76,880,290x320,500,19.1,1.7,11.1,1,14.2,--,25.1,0.7,134,11.9,14.3
14.02156629,-90.05398522,I40-4-1,IV Jutiapa,Miramar,PINUOO,Pinus oocarpa Schiede ex Schltdl,1=individual,1000,Franco-Arcillosa a Arcilla,bmh-S(c),Jutiapa,Conguaco,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I40_4_1.pdf,0,0,0,Sin datos,-90.053985,14.021566,548171,1550467,TABEDO,60,Not Forest,TRUE,2021,TRUE,0.17673288,0.17673288,0.114468984,0.18594442,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2009/11/20,6,148,12.3,40,4,PINUOO01,1,0,58,44,76,880,290x320,500,20.4,1.7,--,--,--,--,28.8,3.4,--,--,--
14.20034767,-90.24555781,I42-5-1,IV-2 Santa Rosa,El Encinal,PINUOO,Pinus oocarpa Schiede ex Schltdl,0=no hay informacion,1100,Arcilla,bmh-S(c),Santa Rosa,Cuilapa,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I42_5_1.pdf,14.5,14.9,12.2,Medio,-90.245558,14.200348,527459,1570213,PINUOO,60,Not Forest,TRUE,2046,TRUE,0.15665619,0.15665619,0.09679526,0.16787957,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2012/11/3,1,40,3.3,42,5,PINUOO01,1,0,63,53,84,1080,250x300,500,3.9,1.2,2.7,0.8,2.7,9.8,1.3,0,1.5,0.5,--
14.20034767,-90.24555781,I42-5-1,IV-2 Santa Rosa,El Encinal,PINUOO,Pinus oocarpa Schiede ex Schltdl,0=no hay informacion,1100,Arcilla,bmh-S(c),Santa Rosa,Cuilapa,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I42_5_1.pdf,14.5,14.9,12.2,Medio,-90.245558,14.200348,527459,1570213,PINUOO,60,Not Forest,TRUE,2046,TRUE,0.15665619,0.15665619,0.09679526,0.16787957,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2026/5/4,2,47,3.9,42,5,PINUOO01,1,0,63,53,84,1060,250x300,500,4.9,1.3,3.4,0.9,3.4,9.2,2,1.2,3.1,0.8,2.6
14.20034767,-90.24555781,I42-5-1,IV-2 Santa Rosa,El Encinal,PINUOO,Pinus oocarpa Schiede ex Schltdl,0=no hay informacion,1100,Arcilla,bmh-S(c),Santa Rosa,Cuilapa,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I42_5_1.pdf,14.5,14.9,12.2,Medio,-90.245558,14.200348,527459,1570213,PINUOO,60,Not Forest,TRUE,2046,TRUE,0.15665619,0.15665619,0.09679526,0.16787957,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2024/6/5,3,60,5,42,5,PINUOO01,1,0,63,53,84,1060,250x300,500,6.8,1.4,5.2,1,6.8,13.1,3.8,1.7,8.9,1.8,5.4
14.20034767,-90.24555781,I42-5-1,IV-2 Santa Rosa,El Encinal,PINUOO,Pinus oocarpa Schiede ex Schltdl,0=no hay informacion,1100,Arcilla,bmh-S(c),Santa Rosa,Cuilapa,500,Conifero,Activa,http://mangomaps.inab.gob.gt/I42_5_1.pdf,14.5,14.9,12.2,Medio,-90.245558,14.200348,527459,1570213,PINUOO,60,Not Forest,TRUE,2046,TRUE,0.15665619,0.15665619,0.09679526,0.16787957,"Tree cover, broadleaved, deciduous, closed to open (>15%)",endemic,softwood,needleleaf,evergreen,simple leaf,non-fixing,,2029/11/6,4,77,6.4,42,5,PINUOO01,1,0,63,53,84,1060,250x300,500,9.1,1.4,5.9,0.9,7.1,10.2,6.8,2.1,18.2,2.8,6.6
