codigoparc,X,Y,Especie,k1,k2,k3,k4
I40-4-1,-90.05398522,14.02156629,TABEDO,0.150395244,,,
I42-5-1,-90.24555781,14.20034767,PINUOO,0.243111698,,,
I42-5-2,-90.24604859,14.20064651,PINUOO,0.119464552,1.773163454,,
I51-6-1,-90.84603396,14.53522844,CUPRLU,0.164757441,0.094204608,,
I51-8-1,-90.77456013,14.59,ALNUJO,0.316610409,0.261136915,,
I51-2-1,-90.78047832,14.59246484,PINUPS,0.195175328,0.114026467,0.029344861,1.106157814
I51-1-2,-90.77962472,14.59276417,CUPRLU,0.311914498,,,
I33-6-1,-89.49589444,14.68098596,PINUOO,5.114755756,,,
I64-9-1,-91.09056521,14.69096606,CUPRLU,0.085196382,0.137690165,,
I64-9-2,-91.09288657,14.70466362,CUPRLU,0.098428283,0.104368748,,
I94-5-1,-91.71440174,14.72047001,PINUMI,0.251240948,,,
I33-7-1,-89.67781815,14.75623549,PINUOO,0.126013541,0.500190001,,
I33-7-3,-89.67683861,14.75736185,PINUOO,0.162261133,,,
I61-6-1,-91.46781749,14.75850967,ABIEGU,0.086628168,,,
I33-7-2,-89.67990381,14.75985842,PINUOO,0.303843819,,,
I61-4-1,-91.4753275,14.76169579,ABIEGU,0.089674107,,,
I61-5-1,-91.46800692,14.76353427,ABIEGU,0.053202034,0.059634319,,
I12-20-1,-90.50569,14.77225007,PINUOO,0.231698819,,,
I64-5-6,-91.11550891,14.77398933,PINUPS,0.076914209,1.400830968,0.148182924,
I64-5-9,-91.12712204,14.77432869,PINUPS,0.09963401,0.086559431,,
I64-5-8,-91.12656683,14.77508948,PINUPS,0.174905828,,,
I12-20-2,-90.50056,14.77528007,PINUOO,0.21467978,,,
I64-10-5,-91.12482142,14.77870986,PINUPS,0.189029033,,,
I12-20-3,-90.50072,14.77908007,PINUOO,0.215096449,,,
I64-10-6,-91.1185577,14.78117634,PINUPS,0.178537667,,,
I64-5-7,-91.12041618,14.78134309,PINUPS,1.408334693,,,
I12-20-6,-90.50583,14.78528007,PINUOO,0.206448589,,,
I12-20-5,-90.50583,14.78533007,PINUOO,0.224175461,,,
I64-10-7,-91.1199748,14.78621637,CUPRLU,0.099284808,,,
I12-20-8,-90.50506,14.78750007,PINUOO,0.160805053,,,
I64-2-3,-91.40682848,14.78751788,CUPRLU,0.055296168,0.030276299,,
I12-10-8,-90.49611,14.78833007,PINUOO,0.108997055,,,
I64-10-8,-91.12026082,14.78879175,CUPRLU,0.112941171,,,
I64-5-3,-91.12417301,14.78912468,PINUPS,0.105979365,0.074862809,,
I12-20-7,-90.50431,14.79008007,PINUOO,0.276606026,,,
I64-5-2,-91.12312222,14.79203812,PINUPS,0.070898797,0.126775861,0.976283814,
I12-10-18,-90.50258,14.79472007,PINUOO,0.131552102,,,
I12-10-6,-90.48417,14.79528007,PINUOO,0.137288976,,,
I12-10-5,-90.48417,14.79806007,PINUOO,0.189363849,,,
I12-10-1,-90.49333,14.79833007,PINUOO,0.138919396,1.554578722,,
I12-10-2,-90.49667,14.79861007,PINUOO,0.180299567,,,
I12-10-4,-90.48389,14.79861007,PINUOO,0.190285736,,,
I33-2-1,-89.44888231,14.79917004,PINUOO,0.29319236,0.249846817,0.01,
I12-10-16,-90.50219,14.79917007,PINUOO,0.242199825,,,
I12-10-9,-90.49333,14.79972007,PINUOO,0.179777949,,,
I12-10-19,-90.50086,14.79994007,PINUOO,0.208752237,,,
I12-10-14,-90.50222,14.8,PINUOO,0.02654691,1.418125372,,
I12-10-15,-90.50142,14.80053007,PINUOO,0.215174277,,,
I12-10-10,-90.49417,14.80111007,PINUOO,0.097013194,,,
I64-13-2,-91.35068757,14.80843037,CUPRLU,0.754338579,,,
I64-13-1,-91.3509967,14.80908001,CUPRLU,0.272869103,,,
I64-7-3,-91.27788329,14.81081179,PINUPS,0.079946104,,,
I64-7-2,-91.277494,14.81107523,CUPRLU,0.138402985,,,
I12-10-12,-90.49861,14.82361007,PINUOO,0.15111499,,,
I64-8-4,-91.37205475,14.82425851,CUPRLU,0.070314204,,,
